Name,Price,MarketCap,Volume
Bitcoin1BTC,$0.002471,"$449,968,617,822","$26,910,577,314"
Ethereum2ETH,$0.000008535,"$227,975,595,629","$17,617,588,446"
Tether3USDT,$0.03483,"$67,569,617,162","$47,882,046,424"
USD Coin4USDC,"$23,528.09","$53,166,998,200","$5,593,389,908"
BNB5BNB,"$1,868.46","$49,895,197,748","$1,010,172,334"
XRP6XRP,$1.00,"$18,669,596,618","$1,087,982,232"
Cardano7ADA,$1.00,"$18,304,202,264","$700,507,770"
Binance USD8BUSD,$309.26,"$18,292,186,618","$4,772,363,425"
Solana9SOL,$0.3781,"$14,454,110,477","$1,147,160,807"
Dogecoin10DOGE,$0.5425,"$10,793,342,126","$676,385,681"
